2000GEOID,Area2000 (Sq Mi),2012GEOID,Area2012 (Sq Mi),IntersectioNArea (Sq Mi),% of 2000 tract covering 2012 tract
48453002107,1.180953778,48453002107,1.180953778,1.180953778,1
48453001501,1.341468229,48453001501,1.341468229,1.341468229,1
48453001901,1.531693291,48453001901,1.531693291,1.531693291,1
48453001732,17.06126084,48453001774,1.84864634,1.84864634,1
48453000604,0.260490387,48453000604,0.257453249,0.257453249,1
48453001403,0.309106894,48453001403,0.309106702,0.309106702,1
48453001844,0.392117928,48453001844,0.392117928,0.392117928,1
48453002104,0.477563223,48453002104,0.477563223,0.477563223,1
48453000301,1.031966052,48453000305,0.571405675,0.571405675,1
48491020404,0.580377838,48491020404,0.577928498,0.577928498,1
48453001832,0.579889191,48453001832,0.579889191,0.579889191,1
48453000201,1.154891805,48453000205,0.582273511,0.582273511,1
48453001805,0.591657912,48453001805,0.58829469,0.58829469,1
48453001751,0.590765918,48453001751,0.590765918,0.590765918,1
48453001822,0.675184775,48453001822,0.675184775,0.675184775,1
48453001757,0.848090436,48453001757,0.848090436,0.848090436,1
48209010903,38.57619576,48209010908,15.41069853,15.41069853,1
48453000204,0.70453607,48453000204,0.70453607,0.70453607,1
48453000301,1.031966052,48453000304,0.459837474,0.459837474,1
48453000303,1.770490058,48453000306,1.301778003,1.301778003,1
48453000303,1.770490058,48453000307,0.468712055,0.468712055,1
48453000801,0.498934704,48453000801,0.498934704,0.498934704,1
48453000902,1.174220167,48453000902,1.174220167,1.174220167,1
48453001304,0.705744224,48453001304,0.705744224,0.705744224,1
48453001307,0.692580531,48453001307,0.692580531,0.692580531,1
48453001503,1.341531285,48453001503,1.341531285,1.341531285,1
48453001504,1.019913797,48453001504,1.016799333,1.016799333,1
48453001604,1.291631474,48453001604,1.291631474,1.291631474,1
48453001606,0.194331309,48453001606,0.194330405,0.194330405,1
48453001719,1.998042577,48453001719,1.997411674,1.997411674,1
48453001728,1.393707978,48453001728,1.393707978,1.393707978,1
48453001729,1.217708833,48453001729,1.217708833,1.217708833,1
48453001732,17.06126084,48453001775,7.379607943,7.379607943,1
48453001732,17.06126084,48453001772,2.653276766,2.653276766,1
48453001739,1.808364128,48453001777,1.032933647,1.032933647,1
