permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-013978 BP,R- 101 Single Family Houses,New,12409 ALTAMIRA ST,2/27/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Final,3663,143466,1,LOT 5 BLK D ESTANCIA HILL COUNTRY SUBD PHS 2,30.12421879,-97.80789155
2015-126021 BP,R- 329 Res Structures Other Than Bldg ,New,12404 ALTAMIRA ST,10/19/2015,New pool and spa,Active,607,40000,0,LOT 5 BLK D ESTANCIA HILL COUNTRY SUBD PHS 2,30.1246931,-97.8083356
2015-151667 BP,R- 101 Single Family Houses,New,601 CARDENAS LN,12/22/2015,"***12/22/15 need water taps***New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2441,89000,1,,30.1252623,-97.8081417
2015-147602 BP,R- 101 Single Family Houses,New,404 PERICO PL,12/10/2015,"***12/10/15 need water taps***New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,3406,102000,1,,30.12529676,-97.81015846
2015-047431 BP,R- 101 Single Family Houses,New,12307 ALTAMIRA ST,4/24/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Final,2575,109303,1,LOT 5 BLK D ESTANCIA HILL COUNTRY SUBD PHS 2,30.12546678,-97.80741006
2015-034944 BP,C- 329 Com Structures Other Than Bldg,New,12110 S IH 35 SVRD SB,8/31/2015,New Construction Commercial Kiddy Pool for Community Recreation,Active,945,52000,0,LOT 5 BLK D ESTANCIA HILL COUNTRY SUBD PHS 2,30.12609796,-97.80694179
2015-034945 BP,C- 329 Com Structures Other Than Bldg,New,12110 S IH 35 SVRD SB,8/31/2015,New Construction Commercial Swimming Pool for Community Recreation.,Active,3124,130000,0,LOT 5 BLK D ESTANCIA HILL COUNTRY SUBD PHS 2,30.12609796,-97.80694179
2015-093954 BP,"C- 318 Amusement, Social & Rec Bldgs",New,12110 S IH 35 SVRD SB,9/3/2015,New Amenity Center,Active,3188,618000,1,LOT 5 BLK D ESTANCIA HILL COUNTRY SUBD PHS 2,30.12609796,-97.80694179
2015-033887 BP,R- 101 Single Family Houses,New,5609 BOROS DR,3/30/2015,"New 1-story single-family residence, attached garage, covered porch.",Active,2409,77033,1,LOT 21 BLK A LEGENDS WAY SEC 1,30.12861425,-97.77654771
2015-034701 BP,R- 101 Single Family Houses,New,5613 BOROS DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,2929,72339.39,1,LOT 22 BLK A LEGENDS WAY SEC 1,30.12865814,-97.7763543
2015-033946 BP,R- 101 Single Family Houses,New,5617 BOROS DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch.",Active,3806,89953,1,LOT 23 BLK A LEGENDS WAY SEC 1,30.12872371,-97.7761713
2015-033919 BP,R- 101 Single Family Houses,New,5621 BOROS DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch.",Active,3214,76553,1,LOT 24 BLK A LEGENDS WAY SEC 1,30.12876077,-97.77599454
2015-033986 BP,R- 101 Single Family Houses,New,5701 BOROS DR,3/30/2015,"New 1-story single-family residence, attached garage, covered porch.",Active,2409,77033,1,LOT 25 BLK A LEGENDS WAY SEC 1,30.12881951,-97.7758282
2015-034018 BP,R- 101 Single Family Houses,New,5705 BOROS DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch.",Active,3214,76553,1,LOT 26 BLK A LEGENDS WAY SEC 1,30.12886584,-97.77563747
2015-034009 BP,R- 101 Single Family Houses,New,5709 BOROS DR,3/30/2015,"New 1-story single-family residence, attached garage, covered porch.",Active,2409,77033,1,LOT 27 BLK A LEGENDS WAY SEC 1,30.12891482,-97.7754604
2015-142021 BP,R- 101 Single Family Houses,New,5713 BOROS DR,11/25/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2409,110000,1,LOT 28 BLK A LEGENDS WAY SEC 2,30.12900188,-97.77528703
2015-144253 BP,R- 101 Single Family Houses,New,5717 BOROS DR,12/4/2015,"***12/03/15 need water taps***New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2829,115000,1,LOT 29 BLK A LEGENDS WAY SEC 2,30.12906666,-97.77508757
2015-142020 BP,R- 101 Single Family Houses,New,5721 BOROS DR,11/25/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2409,110000,1,LOT 30 BLK A LEGENDS WAY SEC 2,30.1291126,-97.77490179
2015-034006 BP,R- 101 Single Family Houses,New,5700 BOROS DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch.",Active,2829,72339,1,LOT 8 BLK C LEGENDS WAY SEC 1,30.12926877,-97.77584928
2015-033978 BP,R- 101 Single Family Houses,New,5704 BOROS DR,3/30/2015,"New 2-story single-family residence, attached garage, covered porch.",Active,3214,77553,1,LOT 9 BLK C LEGENDS WAY SEC 1,30.12931986,-97.77565842
2015-142019 BP,R- 101 Single Family Houses,New,5708 BOROS DR,11/25/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2409,110000,1,LOT 10 BLK C LEGENDS WAY SEC 2,30.12939482,-97.7754524
