permit,address,description,lat,lon
2007-000450 BP,133 Frederick St,Demo Sf Res (See 2007-138210),30.2310488,-97.7612694
2007-000466 BP,2510 Hartford Rd,Don'T Release: Place On The 1.22.2007 Hlc Agenda. Hlc Voted Not To Release The Demo Permit Until It Has Received Plans For The Replacement Structure.,30.296131,-97.757986
2007-000468 BP,1315 Meriden Ln,Demo Sf Res; Already Demolished. Permit #74737 had a frame addn to side and rear of residence 11-20-1959. (EXPIRED PERMIT),30.285925,-97.766595
2007-000470 BP,1600 Rockcliff Rd,Demo Sf Res (See 2009-078873 for re-permit),30.340177,-97.788153
2007-000569 BP,7138 Dixie Dr,Demo Sf Res,30.169624,-97.7428259
2007-000570 BP,1614 Pine Knoll Dr,Demo Sf Res,30.381276,-97.704672
2007-000668 BP,1810 Maple Ave,Demo Sf Res; He Says It Was Burned. **refer to pmt # 2010-052779**,30.280171,-97.7164449
2007-000700 BP,805 W Mary St,Demo Sf Res,30.247312,-97.759855
2007-000770 BP,5000 WOODVIEW AVE,Demo A Garage Only,30.323606,-97.74408
2007-000818 BP,1902 ALEGRIA RD,Demo Sf Res,30.3364644,-97.7355775
2007-000923 BP,5407 Avenue H,Demo Sf Res & Garage Apt.,30.318278,-97.718155
2007-000996 BP,2840 San Gabriel St,Demo Sf Res,30.296713,-97.747276
2007-001308 BP,602 Brentwood St,Demo A Garage Only,30.332358,-97.718459
2007-001380 BP,4367 S CONGRESS AVE,Demo 11 Structures,30.217442,-97.766487
2007-001385 BP,739 W Slaughter Ln,Demo Sf Res & Shed,30.1739577,-97.803789
2007-001478 BP,2105 WOODMONT AVE,Demo sf resid,30.289423,-97.764878
2007-001481 BP,1801 E 51st St,Demo Hangar #2664,30.3014868,-97.699718
2007-001483 BP,3600 Manor Rd Bldg 2080,Demo Hangar# 2080,30.2891551,-97.6984541
2007-001606 BP,4524 BALCONES DR,Demo Sf Res,30.327687,-97.766807
2007-001609 BP,1114 HENNINGER ST,Demo Sf Res & Slab,30.26751,-97.699488
2007-001610 BP,3512 S Lamar Blvd,Demo Sf Res,30.240223,-97.7870628
2007-001612 BP,3512 S Lamar Blvd,Demo Bldg #2,30.240223,-97.7870628
2007-001613 BP,3512 S Lamar Blvd,Demo Bldg #3,30.240223,-97.7870628
2007-001637 BP,2115 Enfield Rd,Demo Sf Res,30.28673,-97.766166
2007-001741 BP,807 W Gibson St,Demo Sf Res,30.25241,-97.75673
2007-001874 BP,2309 W 9TH ST,Demo Sf Res,30.28249,-97.770978
2007-002296 BP,2100 HOPI TRL,Demo Resid **refer to pmt # 2010-040999**,30.297087,-97.773248
2007-002329 BP,1202 Henninger St,Demo Sf Rs,30.267929,-97.699218
2007-002333 BP,1204 Henninger St,Demo Sf Res **Smart Housing**,30.268065,-97.699234
2007-002334 BP,1127 Tillery St,"Demo Sf Res, Cmu Bldg And Asphalt**Smart Housing**",30.26822,-97.70017
2007-002341 BP,1129 Tillery St,Demo All Structures Including Fence**Smart Housing**,30.268684,-97.700581
2007-002346 BP,1131 Tillery St,Demo 3 Sheds **Smart Housing**,30.269256,-97.700312
2007-002418 BP,2108 S Lamar Blvd,Demo 5 Awnings At A Ca. 1965 & 1978 Strip Center. Att To 1bldg. Only,30.2483755,-97.7711582
2007-002440 BP,5905 GROVER AVE,Demo Sf Res,30.3298983,-97.7294454
2007-002499 BP,5315 Sunshine Dr,Demo An Exterior Kitchen Wall.,30.323201,-97.731172
2007-002540 BP,4701 Monterey Oaks Blvd,Demo Sf 2-Story Res,30.2304351,-97.8390526
2007-002543 BP,709 W Stassney Ln,Demo Sf Res & Barn,30.2083602,-97.783273
2007-002584 BP,1022 E 12th St,Demolish 1 stry A Cinderblock Building in rear,30.272603,-97.729185
2007-002700 BP,5606 CLAY AVE,Demo A Detached Garage/Storage,30.3305816,-97.7380197
2007-002701 BP,5604 CLAY AVE,Demo Detached Garage/Storage,30.3304041,-97.7381327
2007-002843 BP,701 E Stassney Ln,Demo Chilis Restaurant,30.2002471,-97.7677763
2007-002852 BP,1717 ROSEWOOD AVE,Demo Sf Res; Structure Closer To Salina Street).,30.269353,-97.7203059
2007-002862 BP,1404 Clifford Ave,**Permit#2007-12707 Finaled*Demo Sf Res,30.2779726,-97.7071101
2007-003349 BP,2307 W 8th St,Demo Sf Res,30.2817321,-97.7713525
2007-003413 BP,502 Leland St,Demo Sf Res,30.242174,-97.748501
2007-003418 BP,8400 RESEARCH BLVD SB,Demo A Used Car Sales Office.,30.3581393,-97.716902
2007-003444 BP,2106 Yellow Jacket Ln,**ref permit#2010-034564**Demo Sf Resid,30.2196742,-97.6967785
2007-003654 BP,700 West Ave,Demo Sf Res,30.2713041,-97.7505755
2007-003705 BP,2213 E Windsor Rd,Placed On The 2/26/207 Hlc Agenda.,30.287355,-97.754952
2007-003789 BP,5308 Aurora Dr,Applicant does not wish to pursue demolition on the garage. See attached letter from applicant. JMM 5-5-2011 Demo Garage,30.323563,-97.732946
2007-003976 BP,1010 E 12TH ST,Demo Sf Res,30.272524,-97.729688
2007-003985 BP,11205 Plains Trl,Demo A Detached Garage,30.383767,-97.693019
2007-003990 BP,7302 DIXIE DR,Dmo Sf Res,30.168519,-97.743743
2007-003995 BP,14309 Jennave Ln,Demo Sf Res,30.436859,-97.676027
2007-003997 BP,3007 N Ih 35 Svrd Nb,**rep permit #2010-044588**Demo Garage Apt/Storage,30.2269498,-97.7447152
2007-004006 BP,2705 S 5th St,Demo Sf Res,30.2394001,-97.766281
2007-004058 BP,402 SOUTH PARK DR,Demo An Attached Carport/Storage Bldg,30.232153,-97.762517
2007-004059 BP,128 FREDERICK ST,Demo; Partial: External Walls Of Bedroom #1.,30.231218,-97.761032
2007-004060 BP,4418 HANK AVE,Demo Sf Res Only,30.2237826,-97.7805984
2007-004061 BP,4420 HANK AVE,Demo Sf Res,30.2236031,-97.7805436
2007-004062 BP,2517 Exposition Blvd,Demo Rear 240 Square Feet Of Building Per Site Plan.,30.299108,-97.766358
2007-004063 BP,1909 NUECES ST,Demo A Porch,30.283389,-97.7437999
2007-004647 BP,4713 Little Hill Cir,This permit was voided because this work was performed under 2007-104592 BP. JMM 8-17-2011. Partial Demo; Fire Damage,30.281855,-97.661069
2007-004705 BP,9302 Fm 812 Rd,Demo Commercial Structure(Aka 9310 Fm 812),30.1597038,-97.6835528
2007-004747 BP,3400 N IH 35 SVRD SB,Demo Killian Hall,30.2238106,-97.7466126
2007-004797 BP,5750 Balcones Dr,Demo A Commercial Structure,30.3389955,-97.7565486
2007-004920 BP,5605 Roosevelt Ave,Demo Sf Res,30.327418,-97.731948
2007-004921 BP,1314 NORWALK LN,Demo Sf Res,30.2890198,-97.7722189
2007-004922 BP,1701 GARNER AVE,"Demo East wall, North wall, South wall and roof.",30.253529,-97.769841
2007-004923 BP,2706 ENFIELD RD,"Demo Sf Res (see comments)Erosion Sed. Control Review Req'D, Entered By Lll....... Historic Appd: Steve Sadowsky-Mar 26, 2007",30.291243,-97.7726
