fid,pop2012,pop2010,pop2000,popGr1012,pctWht,pctAfrAm,pctHisp,pctAsian,pctOther,grocery,parkAcres,nonCitizenPct
1,79217,76257,,3.88%,0.24306,0.25142,0.46392,0.02652,0.01507,2,4850,19
2,66728,67547,,-1.21%,0.2207,0.06961,0.68364,0.01047,0.01558,2,1750,22.5
3,81536,79310,,2.81%,0.26842,0.08213,0.5969,0.03315,0.01939,5,900,25
4,80332,76809,,4.59%,0.21383,0.11811,0.61965,0.03285,0.01557,2,200,34
5,74540,74556,,-0.02%,0.60581,0.03521,0.31455,0.02152,0.02291,7,1200,5.9
6,99400,97712,,1.73%,0.64781,0.0464,0.1621,0.11625,0.02744,5,500,7.5
7,90972,88863,,2.37%,0.56106,0.08443,0.23817,0.09474,0.02161,8,650,13.5
8,75910,75367,,0.72%,0.70158,0.0233,0.18036,0.06689,0.02787,4,3300,5.1
9,76006,77537,,-1.97%,0.66914,0.03543,0.18669,0.08328,0.02546,9,500,7
10,81017,80431,,0.73%,0.77594,0.01871,0.08809,0.09665,0.02061,8,1700,6
