tractID,rent2000,value2000,income2000,rent2012,value2012,income2012,Gross Rent,Home Value,Household Income,rentError2012,valueError2012,incomeError2012
48453000601,506.0002561,0.571831578,13750.01968,1340,-,6458,1.648220003,,-0.530327945,264,**,3734
48453002433,592,82600,42392,1556,113900,59906,1.628378378,0.378934625,0.413143989,573,14546,7683
48453001200,584.2988424,224689.4518,41354.40343,1503,422500,62338,1.572313842,0.880373095,0.507409002,237,39307,9430
48453001100,752.328627,120195.1384,45007.86162,1815,338400,91774,1.412509554,1.815421693,1.039065992,93,34542,21438
48453002435,591.2939903,82501.49256,42341.44398,1338,108900,46033,1.262833754,0.319976119,0.087185407,158,10605,11026
48453000603,612.8525795,183261.4124,10230.31404,1363,136200,6832,1.224025884,-0.256799354,-0.332180814,133,21276,1503
48453002209,610.7767368,92558.81289,47278.78799,1325,123000,50954,1.169368805,0.328884805,0.077734903,78,8183,8157
48453000901,589.2446212,51107.44071,31490.35363,1231,156700,40556,1.089115379,2.066089748,0.287886458,202,58187,11605
48453001784,1034.79594,216239.4747,86339.03116,2000,482900,153056,0.932748208,1.233172277,0.772732424,***,39022,29685
48453001738,831.1954796,153461.7996,79039.50631,1604,238900,98591,0.929750629,0.556739206,0.24736356,535,6481,3775
48453001755,729.1808303,269746.4201,119232.4151,1407,430700,163451,0.929562519,0.596684767,0.370860432,107,13820,21436
48453000902,409,56700,23700,762,170900,33634,0.863080685,2.014109347,0.419156118,172,19838,4271
48453002434,685.0003616,90200.57035,41369.23939,1271,105900,56677,0.855473473,0.174050226,0.370027606,347,22998,11487
48453001603,937.9992105,327099.7295,84337.92485,1738,635900,121622,0.852880024,0.944055414,0.442079589,223,40867,17878
48453002111,436.0014912,58500.19947,26463.0391,793,126800,32978,0.818801119,1.167513977,0.246190956,89,24942,5531
48453000306,663,139600,35184,1196,354800,64211,0.803921569,1.541547278,0.825005684,534,42662,22489
48453001760,855.0043444,228817.0281,105480.1393,1525,379800,125997,0.783616668,0.659841503,0.194509231,305,17243,7567
48453002208,613.9820006,66500.74502,37110.55986,1089,77500,35757,0.77366763,0.165400477,-0.036473712,105,13013,7091
48453002207,604,91700,46991,1063,117300,51103,0.759933775,0.27917121,0.087506118,274,7547,8709
48453000802,287,54000,12427,498,174600,23023,0.735191638,2.233333333,0.852659532,104,15765,4892
48453001768,715.5836968,205080.1519,67376.73994,1210,324400,97197,0.690927288,0.581820556,0.442589833,166,27264,12741
48453000804,420,73800,17725,709,222000,31492,0.688095238,2.008130081,0.776699577,207,18805,3526
48453001719,1058,330600,119186,1775,494700,136992,0.677693762,0.496370236,0.149396741,196,33729,16319
48453001846,1193.425811,138489.2285,75750.64171,2000,210700,94205,0.675847784,0.521417963,0.243619828,***,7150,12004
48453002110,527,51600,27344,877,120500,31589,0.664136622,1.335271318,0.155244295,118,12943,6126
48453001770,1208,179200,92426,2000,356300,134792,0.655629139,0.98828125,0.458377513,***,11142,17694
48453000101,786.0632045,180940.2294,55419.86041,1297,341000,68939,0.649994546,0.884600241,0.24394034,284,19139,16455
48453000803,548.114923,48242.24674,25704.24089,898,190100,50114,0.638342549,2.940529574,0.949639369,340,45398,7755
48453000402,547.0002757,84700.0242,25829.01293,889,214200,37692,0.6252277,1.528924897,0.459289215,115,18390,6471
48453001401,751.0477737,193826.3962,40211.61083,1219,393100,68458,0.623065859,1.028103538,0.702443612,101,38987,7961
48453002431,684.904993,90138.25815,41336.67112,1106,122200,59398,0.61482251,0.355695157,0.436932351,91,6949,5883
48453001918,1245.310606,304859.0909,117884.5076,2000,718900,148654,0.606025027,1.358138633,0.261013878,***,92246,39748
48453002426,810.9453966,174564.3375,60508.8574,1296,126200,54159,0.598134727,-0.277057377,-0.104940957,166,12400,7783
48453000604,719,190400,7423,1145,217800,9413,0.592489569,0.143907563,0.26808568,185,18761,3575
48453002210,604,91700,46991,950,89100,49949,0.572847682,-0.028353326,0.062948224,104,15676,4243
48453000206,602,154400,31207,930,347400,61354,0.544850498,1.25,0.966033262,112,25861,15035
48453001000,430.9999397,60299.99968,23596.99882,665,251400,29286,0.54292365,3.169154251,0.241090031,270,102388,9824
48453002107,593,83300,31470,905,156300,40759,0.52613828,0.87635054,0.295170003,81,15887,5724
48453001742,893,118400,52946,1361,241800,73068,0.524076148,1.04222973,0.380047596,182,19608,20260
48453001303,607.7201127,172331.0412,45472.05486,922,410800,82560,0.517145773,1.383784123,0.81562061,80,43215,13646
48453002402,725.7603521,78892.32655,39922.88707,1082,145700,42175,0.490850247,0.846820931,0.056411575,50,9629,3144
48453000204,625,233800,36484,931,377200,48494,0.4896,0.613344739,0.329185396,84,36947,11397
48453002109,617.8681952,61796.88968,30226.9095,916,119000,34421,0.482516833,0.925663259,0.138753534,69,8403,6301
48453002002,689.947169,83395.31601,38507.20216,1015,202300,68750,0.471127132,1.425795712,0.785380296,134,16196,14401
48453001402,669.2530235,210326.1596,47542.44145,981,368000,56016,0.465813326,0.749663479,0.178231456,97,35052,11986
48453001913,1007,528300,153680,1473,835600,209479,0.462760675,0.581677077,0.363085632,1129,82019,22511
48453000500,616.0005,245800.0931,22209.02208,900,402200,32472,0.461037775,0.636289046,0.462108502,77,94794,10169
48453001783,1043,221900,88271,1516,353300,105250,0.453499521,0.59215863,0.192350829,270,51785,22570
48453001305,616.0995776,124348.7805,31743.51582,894,357200,63883,0.451064134,1.872565364,1.012473992,74,19561,10937
48453002318,610,55700,17321,882,116100,29112,0.445901639,1.08438061,0.680734369,121,16863,5414
48453002403,723.6885576,82500.36427,44160.61884,1043,145800,44493,0.441227706,0.767264924,0.007526642,557,16300,4120
48453002308,627.1184827,105753.0593,29066.36094,897,240200,37456,0.430351719,1.27132909,0.288637407,60,27260,6875
48453001774,1208,179200,92426,1722,220300,98606,0.425496689,0.229352679,0.066864302,43,7285,8691
48453001308,578.2003286,85160.06145,32288.87333,821,263900,45242,0.419923095,2.098870474,0.401163786,109,33396,8834
48453002317,610,55700,17321,862,110900,16073,0.413114754,0.991023339,-0.072051267,83,37710,3356
48453000102,793.0771819,319603.3357,101881.0646,1115,638500,143393,0.405916127,0.997788911,0.407454865,359,51183,21486
48453001605,789.0002149,298799.1969,50374.59808,1109,661300,80393,0.405576297,1.213192026,0.595903552,70,176677,16653
48453001718,824.8621769,249988.7949,56079.9796,1156,388200,74386,0.401446244,0.552869601,0.326427016,130,37076,15718
48453001737,877.2564672,180401.2925,90876.30282,1229,277200,111003,0.400958609,0.536574357,0.221473548,95,5562,7686
