date,value
1/1/2007,38
2/1/2007,47
3/1/2007,46
4/1/2007,36
5/1/2007,74
6/1/2007,63
7/1/2007,50
8/1/2007,71
9/1/2007,50
10/1/2007,98
11/1/2007,38
12/1/2007,43
1/1/2008,31
2/1/2008,38
3/1/2008,71
4/1/2008,80
5/1/2008,79
6/1/2008,73
7/1/2008,49
8/1/2008,60
9/1/2008,59
10/1/2008,28
11/1/2008,28
12/1/2008,55
1/1/2009,59
2/1/2009,37
3/1/2009,57
4/1/2009,66
5/1/2009,35
6/1/2009,28
7/1/2009,46
8/1/2009,40
9/1/2009,33
10/1/2009,41
11/1/2009,38
12/1/2009,31
1/1/2010,30
2/1/2010,37
3/1/2010,46
4/1/2010,49
5/1/2010,35
6/1/2010,57
7/1/2010,39
8/1/2010,37
9/1/2010,31
10/1/2010,43
11/1/2010,32
12/1/2010,49
1/1/2011,51
2/1/2011,41
3/1/2011,61
4/1/2011,40
5/1/2011,31
6/1/2011,49
7/1/2011,50
8/1/2011,70
9/1/2011,51
10/1/2011,65
11/1/2011,38
12/1/2011,41
1/1/2012,41
2/1/2012,74
3/1/2012,67
4/1/2012,60
5/1/2012,71
6/1/2012,78
7/1/2012,63
8/1/2012,62
9/1/2012,77
10/1/2012,58
11/1/2012,75
12/1/2012,57
1/1/2013,62
2/1/2013,37
3/1/2013,44
4/1/2013,61
5/1/2013,82
6/1/2013,48
7/1/2013,53
8/1/2013,66
9/1/2013,72
10/1/2013,48
11/1/2013,71
12/1/2013,59
1/1/2014,50
2/1/2014,94
3/1/2014,49
4/1/2014,90
5/1/2014,123
6/1/2014,90
7/1/2014,88
8/1/2014,79
9/1/2014,92
10/1/2014,85
11/1/2014,61
12/1/2014,68
1/1/2015,56
2/1/2015,57
3/1/2015,90
4/1/2015,26
