district,demos,date
1,1,1/1/2007
1,8,2/1/2007
1,2,3/1/2007
1,4,4/1/2007
1,12,5/1/2007
1,9,6/1/2007
1,8,7/1/2007
1,4,8/1/2007
1,1,9/1/2007
1,6,10/1/2007
1,3,11/1/2007
1,2,12/1/2007
1,4,1/1/2008
1,8,2/1/2008
1,5,3/1/2008
1,7,4/1/2008
1,6,5/1/2008
1,17,6/1/2008
1,2,7/1/2008
1,6,8/1/2008
1,3,9/1/2008
1,3,10/1/2008
1,1,11/1/2008
1,8,12/1/2008
1,8,1/1/2009
1,6,2/1/2009
1,6,3/1/2009
1,6,4/1/2009
1,3,6/1/2009
1,5,7/1/2009
1,2,8/1/2009
1,5,9/1/2009
1,2,10/1/2009
1,3,11/1/2009
1,1,12/1/2009
1,5,1/1/2010
1,1,2/1/2010
1,5,3/1/2010
1,4,4/1/2010
1,3,6/1/2010
1,4,7/1/2010
1,2,8/1/2010
1,5,9/1/2010
1,2,10/1/2010
1,2,11/1/2010
1,5,12/1/2010
1,6,2/1/2011
1,4,3/1/2011
1,5,4/1/2011
1,3,5/1/2011
1,3,6/1/2011
1,3,7/1/2011
1,12,8/1/2011
1,4,9/1/2011
1,3,10/1/2011
1,1,11/1/2011
1,4,12/1/2011
1,7,1/1/2012
1,7,2/1/2012
1,4,3/1/2012
1,6,4/1/2012
1,7,5/1/2012
1,6,6/1/2012
1,12,7/1/2012
1,16,8/1/2012
1,8,9/1/2012
1,3,10/1/2012
1,3,11/1/2012
1,4,12/1/2012
1,7,1/1/2013
1,1,2/1/2013
1,4,3/1/2013
1,2,4/1/2013
1,12,5/1/2013
1,8,6/1/2013
1,11,7/1/2013
1,11,8/1/2013
1,6,9/1/2013
1,5,10/1/2013
1,8,11/1/2013
1,3,12/1/2013
1,7,1/1/2014
1,6,2/1/2014
1,4,3/1/2014
1,15,4/1/2014
1,11,5/1/2014
1,10,6/1/2014
1,14,7/1/2014
1,9,8/1/2014
1,12,9/1/2014
1,10,10/1/2014
1,6,11/1/2014
1,6,12/1/2014
1,5,1/1/2015
1,5,2/1/2015
1,8,3/1/2015
1,6,4/1/2015
2,2,1/1/2007
2,2,2/1/2007
2,2,3/1/2007
2,7,5/1/2007
2,8,6/1/2007
2,1,7/1/2007
2,9,8/1/2007
2,13,10/1/2007
2,6,11/1/2007
2,2,1/1/2008
2,10,3/1/2008
2,19,4/1/2008
2,11,5/1/2008
2,10,6/1/2008
2,2,7/1/2008
2,6,8/1/2008
2,10,9/1/2008
2,3,12/1/2008
2,3,1/1/2009
2,8,2/1/2009
2,12,3/1/2009
2,3,4/1/2009
2,2,5/1/2009
2,2,7/1/2009
2,1,8/1/2009
2,1,9/1/2009
2,7,10/1/2009
2,3,11/1/2009
2,2,12/1/2009
2,4,2/1/2010
2,2,3/1/2010
2,1,4/1/2010
2,1,5/1/2010
2,3,6/1/2010
2,1,7/1/2010
2,1,8/1/2010
2,4,9/1/2010
2,3,10/1/2010
2,5,12/1/2010
2,2,1/1/2011
2,1,2/1/2011
2,6,3/1/2011
2,1,5/1/2011
2,3,6/1/2011
2,3,7/1/2011
2,2,8/1/2011
2,1,10/1/2011
2,3,11/1/2011
2,12,3/1/2012
2,3,4/1/2012
2,3,5/1/2012
2,5,6/1/2012
2,8,7/1/2012
2,5,8/1/2012
2,3,10/1/2012
2,2,11/1/2012
2,1,12/1/2012
2,4,3/1/2013
2,1,5/1/2013
2,1,6/1/2013
2,1,7/1/2013
2,2,11/1/2013
2,2,12/1/2013
2,2,3/1/2014
2,18,4/1/2014
2,21,5/1/2014
2,13,6/1/2014
2,6,7/1/2014
2,1,8/1/2014
2,9,9/1/2014
2,14,10/1/2014
2,9,11/1/2014
2,5,12/1/2014
2,9,1/1/2015
2,5,2/1/2015
2,41,3/1/2015
2,3,4/1/2015
3,8,1/1/2007
3,8,2/1/2007
3,6,3/1/2007
3,6,4/1/2007
3,4,5/1/2007
3,5,6/1/2007
3,5,7/1/2007
3,7,8/1/2007
3,9,9/1/2007
3,12,10/1/2007
3,2,11/1/2007
3,9,12/1/2007
3,7,1/1/2008
3,8,2/1/2008
3,14,3/1/2008
3,8,4/1/2008
3,9,5/1/2008
3,7,6/1/2008
3,4,7/1/2008
3,5,8/1/2008
3,9,9/1/2008
3,4,10/1/2008
3,2,11/1/2008
3,6,12/1/2008
3,1,1/1/2009
3,4,2/1/2009
3,7,3/1/2009
3,4,4/1/2009
3,8,5/1/2009
3,3,6/1/2009
3,7,7/1/2009
3,9,8/1/2009
3,9,9/1/2009
3,3,10/1/2009
3,9,11/1/2009
3,1,12/1/2009
3,7,1/1/2010
3,16,2/1/2010
3,7,3/1/2010
3,10,4/1/2010
3,4,5/1/2010
3,5,6/1/2010
3,3,7/1/2010
3,6,8/1/2010
3,5,9/1/2010
3,5,10/1/2010
3,9,11/1/2010
3,7,12/1/2010
3,2,1/1/2011
3,10,2/1/2011
3,4,3/1/2011
3,3,4/1/2011
3,5,5/1/2011
3,4,6/1/2011
3,4,7/1/2011
3,11,8/1/2011
3,9,9/1/2011
3,11,10/1/2011
3,2,11/1/2011
3,6,12/1/2011
3,8,1/1/2012
3,8,2/1/2012
3,15,3/1/2012
3,14,4/1/2012
3,9,5/1/2012
3,5,6/1/2012
3,10,7/1/2012
3,1,8/1/2012
3,9,9/1/2012
3,4,10/1/2012
3,6,11/1/2012
3,8,12/1/2012
3,21,1/1/2013
3,4,2/1/2013
3,9,3/1/2013
3,6,4/1/2013
3,4,5/1/2013
3,5,6/1/2013
3,7,7/1/2013
3,9,8/1/2013
3,6,9/1/2013
3,9,10/1/2013
